Kartentyp,Name,Trivia,Quelle,Voraussetzung,Effekt,Kernenergie,Fossile Energien,Windenergie,Solarenergie,Ereigniskarten
Plan,Blauwind II,"Ein Shell-Konsortium namens Blauwind II hat 2016 die Ausschreibung für zwei Offshore-Windparks in den Niederlanden gewonnen. Die Niederlande plant insgesamt fünf Offshore Zonen, vier sind bereits an Unternehmen vergeben.",http://www.iwr.de/news.php?id=32728,1 Karte wird gespielt.,Annuliere die Karte und lege sie auf den Ablagestapel.,0,0,1,0,0
Plan,Nordafrika-Staaten,"Staaten in Nordafrika, insbesondere die sogenannten Maghreb-Staaten, haben Pläne ihre Solarenergie-Gewinnung bis 2020 auf 3GW zu erhöhen. Aufgrund der idealen Umstände ist dies auch sehr realistisch.",http://www.photovoltaik.org/news/international/solarenergie-grosse-plaene-nordafrika-12325,Du musst mindestens 1 Karte abwerfen.,"Anstatt Karten abzuwerfen aktiviere diese Karte. Wenn das Wetter gut ist, kannst du sie statt auf den Ablagestapel zu legen erneut spielen.",0,0,0,1,0
Gebäude,Endlager (Imaginär),"Es wurde bis heute kein geeignetes Atommüll-Endlager gefunden. Das liegt auch daran, dass es hohe Anforderungen an potentielle Endlager gibt, wie zum Beispiel die Strahlensicherheit für eine Million Jahre.",http://www.bmub.bund.de/themen/atomenergie-strahlenschutz/nukleare-sicherheit/sicherheit-endlager/sicherheitsanforderungen/,"Kann nicht gebaut werden, außer durch den Effekt von ""Kommission Lagerung hoch radioaktiver Abfallstoffe"".",Dieses Gebäude bleibt von den Effekten anderer Karten unberührt. Du kannst dein Deck und Ablagestapel tauschen. Mische dann dein Deck.,1,0,0,0,0
Gebäude,Sea Troll,"Sea Troll ist die größte Bohrinsel die Welt und ist im Einflussbereichs Norwegen in der Norwegen zu finden. Hier wird Erdgas aus dem Troll-Gasfeld gefördert, eine wichtige Einnahmequelle Norwegens.",https://de.wikipedia.org/wiki/Sea_Troll,Keine.,Wirf 1 Karte ab. Mische eine Karte aus deinem Ablagestapel ins Deck.,0,1,0,0,0
Gebäude,Windpark Baltic 2,"Der Windpark Baltic 2 ist der zweite Baltic Windpark in der Nordsee. Auf einer vier Mal größeren Fläche, im Vergleich zu Baltic 1, erzeugt er sechs Mal mehr Energie.",https://www.enbw.com/unternehmen/konzern/energieerzeugung/neubau-und-projekte/enbw-baltic-2/,Keine.,Wenn diese Karte von deiner Hand abgeworfen wird: mische 5 Karten aus deinem Ablagestapel ins Deck.,0,0,1,0,0
Gebäude,Agua Caliente Solar Project,Bei Fertigstellung (2014) war der Photovoltaik-Solarpark der größte der Erde. Mittlerweile ist er mit einer Kapazität von maximal 290 MW nur noch Zehnter. ,http://www.n-tv.de/mediathek/bilderserien/wissen/Die-zehn-groessten-Solarkraftwerke-der-Welt-article17678296.html,Mische 2 Karten aus deinem Ablagestapel ins Deck.,Muss jede Runde aktiviert werden. Gutes Wetter: Mische eine Karte aus dem Ablagestapel ins Deck. Schlechtes Wetter: Lege die oberste Karte deines Decks auf den Ablagestapel.,0,0,0,1,0
Gebäude,Atomkraftwerk Kahl,Das Atomkraftwerk Kahl war das erste kommerzielle Kernkraftwerk Deutschlands. Es ging am 13.11.1960 in Betrieb und speiste 8 Monate später den ersten Strom ins öffentliche Stromnetz.,https://de.wikipedia.org/wiki/Kernkraftwerk_Kahl,Lege die oberste Deckkarte auf den Ablagestapel.,Ziehe 2 Karten. Wirf 1 zufällige Karte ab.,1,0,0,0,0
Gebäude,Kohleförderungen in Deutschland,"Deutschland ist führender Braunkohle-Förderer weltweit. Mit einer Fördermenge von 178,2T in 2014. Gefolgt wird Deutschland von China, Russland, USA und Polen (in absteigender Reihenfolge).",https://de.wikipedia.org/wiki/Kohle/Tabellen_und_Grafiken,Wirf 1 Karte ab.,Ziehe 1 Karte.,0,1,0,0,0
Gebäude,Jeffrey's Bay Windpark,"Jeffreys Bay an der Ostküste Südafrikas hat einen Rohstoff im Überfluss: Wind. Südafrika dagegen hat etwas zu wenig: Energie. Es soll ein Windpark entstehen, der mehr als 100.000 Haushalte versorgen soll.",http://www.faz.net/aktuell/wirtschaft/windenergie-in-suedafrika-afrikas-energiesektor-lockt-investoren-und-industrie-12927984.html,"Wähle eine beliebige Anzahl an Gegenspielern, sie ziehen 1 Karte. Du ziehst für jeden gewählten Spieler 1 Karte.",Jeder Spieler mischt 1 Karte vom Ablagestapel ins Deck.,0,0,1,0,0
Gebäude,Größter Solarpark weltweit,"Marokko hat einen der größten Solarparks der Welt eröffnet. Die 4 Photovoltaikanlagen strecken sich über 30km² aus und wird in Zukunft 1,2 Mio. Menschen versorgen.",https://www.welt.de/wirtschaft/article151866887/Hier-entsteht-der-groesste-Solarpark-der-Welt.html,Gutes Wetter.,Gutes Wetter: ziehe 2 Karten.,0,0,0,1,0
Unterstützer,Anwälte,"Die großen Energiekonzerne, die AKWs besitzen, wollen den Staat wegen des Atomausstieges auf Milliarden verklagen.",,,"Ziehe 1 Karte und zeige sie den anderen Spielern. Ist es ein Gebäude, lege es auf den Ablagestapel. Ist es kein Gebäude, werfen alle Gegenspieler 1 Karte ab.",3,0,0,0,0
Unterstützer,"Druck, Wärme, Zeit","Erdgas und Erdöl entstanden vor etwa 70 Mio. Jahren Wassertieren und -pflanzen. Nach dem Absterben folgte die Sedimentation zusammen mit mineralischen Schwebstoffen. Druck, Wärme und Zeit trugen zur Entstehung bei. ",http://www.umweltbundesamt.at/umweltschutz/energie/energietraeger/fossileenergie/,,Wähle einen Gegenspieler. Er wirft eine Karte ab.,0,3,0,0,0
Unterstützer,Das kleinste Windrad der Welt,"Wissenschaftler der University of Texas haben ein Windrad erfunden, welches 10 mal auf ein Reiskorn passen könnte, mit einer maximalen Spannweite von 1,8mm.",http://www.daserste.de/information/wissen-kultur/wissen-vor-acht-zukunft/sendung-zukunft/kleine-kraftwerke100.html,,Alle Gegenspieler legen die oberste Deckkarte auf den Ablagestapel.,0,0,3,0,0
Unterstützer,Greenpeace,"Greenpeace setzt sich Weltweit für den Einsatz von Erneuerbaren Energien ein, um dem Klimawandel entgegenzuwirken, und so dem Schutz der Natur weiter zu verhelfen.",http://www.greenpeace.org,,Gutes Wetter: wähle 2 Gegenspieler. Sie werfen 1 Karte ab.,0,0,0,3,0
Unterstützer,Das Risiko der Kernenergie,"Weltweit ereignen sich täglich Zwischenfälle in Atomreaktoren. Ein tragisches Beispiel dafür ist die Reaktorkatastrophe in Tschernobyl, die sich in einem Reaktortyp ereignete, der zuvor als besonders sicher galt.",https://www.greenpeace.de/themen/atomkraft/gefahren-der-atomkraft,,"Wenn diese Karte gezogen wird, muss sie aktiviert werden. Wenn dein Ablagestapel nicht leer ist: tausche deinen Ablagestapel und dein Deck. Lege dann diese Karte auf den Ablagestapel.",1,0,0,0,0
Unterstützer,Subvention,"2011 wurden fossile Energien weltweit mit 523 Mrd. US$ direkt subventioniert, Erneuerbare Energien mit ca. 100 Mrd. US$. Subventionen für fossile Energien übersteigen die für erneuerbare Energien weit (Stand 2014).",https://de.wikipedia.org/wiki/Fossile_Energie#Kohle,,"Wenn diese Karte gezogen wird, muss sie aktiviert werden. Mische bis zu 3 Karten aus deinem Ablagestapel ins Deck. Lege dann diese Karte auf den Ablagestapel.",0,1,0,0,0
Unterstützer,Rückenwind Bayern,"www.rueckenwind-bayern.de ist eine online-Petition um Windkraft in Bayern zu fördern, um die Unabhängigkeit von Fossilen Energien und Kernenergie möglich zu machen.",http://www.rueckenwind-bayern.de/,,"Wenn diese Karte gezogen wird, muss sie aktiviert werden. Alle Spieler mischen die oberste und unterste Karte ihres Ablagestapels ins Deck. Lege dann diese Karte auf den Ablagestapel.",0,0,1,0,0
Unterstützer,Stiftung Solarenergie,"stiftung-solarenergie.de ist eine internationale Stiftung, die die Förderung von Solarenergie in Entwicklungsländern stärkt. Ihr Ziel ist es Armut und Hunger durch Solarenergie zu bekämpfen.",http://stiftung-solarenergie.de,,"Wenn diese Karte gezogen wird, muss sie aktiviert werden. Gutes Wetter: mische 3 Karten deines Ablagestapels zurück ins Deck. Schlechtes Wetter: lege die obersten drei Karten deines Decks auf den Ablagestapel.",0,0,0,1,0
Unterstützer,Amerika gegen Atomausstieg,"Eine Sache haben Hillary Clinton und Donald Trump gemeinsam, denn beide unterstützen die Nutzung von AKW's und sehen diese als notwendig für die Zukunft der Energieversorgung.",http://bizzenergytoday.com/clinton_und_trump_ausnahmsweise_einig_beide_unterstützen_atomenergie,,Schlechtes Wetter: wähle 2 Karten aus deinem Deck und nimm sie auf die Hand. Mische dein Deck.,2,0,0,0,0
Unterstützer,Pro-Lausitzer-Braunkohle,"Ist ein Verein im Süd-Osten Brandenburgs, der sich für das Lausitzer Braunkohlerevier einsetzt.",pro-lausitz.de,,Wähle 1 Karte aus deinem Deck und nimm sie auf die Hand. Mische dein Deck.,0,2,0,0,0
Unterstützer,WWF,WWF setzte sich in einem Statement 2015 eindeutig für die Windenergie ein. Laut Ihnen muss aber auch die Landschaftsgestaltung mit einbezogen werden.,wwf.de,,"Alle Gegenspieler wählen 1 Karte aus ihrem Deck, du wählst 2. Die Karten werden auf die Hand genommen. Alle Spieler mischen ihr Deck.",0,0,2,0,0
Unterstützer,Solarenergie auf der ISS,"2007 wurden 16400 neue Solaranlagen auf der ISS installiert, um die Energieversorgung geplanter Forschungsstationen zu gewährleisten, so unter anderem auch das Columbus-Projekt.",http://www.solarserver.de/solar-magazin/nachrichten/archiv-2007/16400-neue-solarzellen-fuer-die-internationale-raumstation-iss.html,,Gutes Wetter: wähle 2 Karten aus deinem Deck und nimm sie auf die Hand. Mische dein Deck.,0,0,0,2,0
Gebäude,Kernkraftwerk Kashiwazaki-Kariwa,Es ist mit einer Gesamtleistung von 8.212 MW brutto das leistungsstärkste Kernkraftwerk weltweit und umfasst 4.2km² der Küste des japanischen Meeres.,https://de.wikipedia.org/wiki/Kernkraftwerk_Kashiwazaki-Kariwa,Wirf 1 Karte ab.,Lege die oberste Karte von deinem Deck auf den Ablagestapel. Ziehe 1 Karte.,3,0,0,0,0
Gebäude,Heizkraftwerk Altbach/Deizisau,Das erste Kohlekraftwerk in Altbach wurde bereits 1899 erbaut. Nach mehreren Abrissen und Neubauten wurde ab 1970 die heutige Version gebaut.,https://de.wikipedia.org/wiki/Heizkraftwerk_Altbach/Deizisau,Wirf 1 Karte ab.,Tausche 1 Handkarte mit der obersten Deckkarte.,0,3,0,0,0
Gebäude,Offshore-Windpark Nördlicher Grund,Der geplante Offshore-Windpark Nördlicher Grund liegt in der Nordsee in der Nähe der Insel Sylt. Er soll eine Fläche von 55km^2 umfassen.,de.wikipedia.org/wiki/Offshore-Windpark_Nördlicher_Grund/,Wirf 1 Karte ab.,Wähle eine Handkarte. Ziehe 1 Karte. Lege die oberste Karte vom Ablagestapel aufs Deck. Wirf die gewählte Handkarte ab.,0,0,3,0,0
Gebäude,Solarpark Cestas,Der Solarpark nahe der Gemeinde Cestas bei Bordeaux schafft bis zu 300 Megawatt Leistung. Die Ost-West-Ausrichtung der Anlage erlaubt einen dreimal höheren Ertrag laut Betreiber.,http://www.n-tv.de/mediathek/bilderserien/wissen/Die-zehn-groessten-Solarkraftwerke-der-Welt-article17678296.html,Wirf 1 Karte ab.,Sieh dir die oberste Deckkarte an.,0,0,0,3,0
Unterstützer,Rosatom,"Rosatom ist ein russische Staatskonzern, der Atomkraftwerke betreibt. Seit der Fukushima-Katastrophe haben sich seine Aufträge verdreifacht.",www.euractiv.de/section/energie-und-umwelt/news/atomlobby-beschwort-in-moskau-renaissance-der-kernkraft/,,Für 2 Runden: Du darfst vom Ablagestapel statt vom Deck ziehen.,2,0,0,0,0
Unterstützer,Industrialisierung,Im Zuge der Industrialisierung gewann die Energiebereitstellung über fossile Brennstoffe als Energieträger an Bedeutung. Vor allem die Industrieländer haben auf die neu entdeckten Brennstoffe zurückgegriffen.,http://www.energybridges.eu/_fossil.html,,Für 2 Runden: Du darfst statt abzuwerfen eine Karte vom Deck auf den Ablagestapel legen und statt eine Karte vom Deck auf den Ablagestapel zu legen eine Karte abwerfen.,0,2,0,0,0
Unterstützer,IWR Windenergie,Die IWR Windenergie stellt Windenergieanlagen her. Weiterhin veröffentlich sie regelmäßig Argumente für die Nutzung der Windenergie auf ihrer Webseite.,iwr.de,,Für 2 Runden: Lege deine abgeworfenen Karten unter dein Deck statt auf den Ablagestapel.,0,0,2,0,0
Unterstützer,The People's Solar,"thepeoplessolar.com ist eine Crowdfunding Plattform, auf der Solarenergieprojekte unterstützt werden können.",https://www.thepeoplessolar.com/,,Für 2 Runden: Es ist gutes Wetter.,0,0,0,2,0
Plan,Wettbewerbsvorteil,"Konzerne verschaffen sich regelmäßig Wettbewerbsvorteile, indem sie gegebene Umstände zu ihren Gunsten ausnutzen.",,Ein Gegenspieler wirft 1 oder mehr Karten ab.,Lege dieselbe Anzahl Karten von seinem Deck auf den Ablagestapel.,1,1,1,1,0
Ereigniskarte,Orkan,"Orkane sind starke Windstürme in Europa und treten vor allem im Januar auf. Sie sind der weltweit zweitgrößte Grund für Versicherungsverluste, nach den amerikanischen Hurricanes.",https://en.wikipedia.org/wiki/European_windstorm,,Für 3 Runden: schlechtes Wetter. Dies ist unveränderlich.,0,0,0,0,1
Ereigniskarte,Weltweiter Atomausstieg,Weltweit gibt es etwa 450 Kernkraftwerke und viele von ihnen erreichen langsam ihre ursprünglich geplante Lebenszeit. Trotzdem ist ein weltweiter Atomausstieg durch den steigenden Energiebedarf derzeit undenkbar.,http://www.swr.de/swr2/wissen/weltweit-neue-atomkraftwerke/-/id=661224/did=16793158/nid=661224/13p46mz/,,Alle Kernkraftwerke werden vom Spielfeld auf den Ablagestapel gelegt.,0,0,0,0,1
Ereigniskarte,Trump,Trump will in den Irak einfallen um günstige fossile Brennstoffe zu sichern.,,,Für 3 Runden: Der Spieler mit Fossilem-Energie-Deck zieht 2 Karten pro Zug.,0,0,0,0,1
Ereigniskarte,Stagnation,"Die Stagnation ist ein Zustand der Wirtschaft, in der die wirtschaftliche Entwicklung stillsteht. Bei einer länger andauernden Stagnation spricht man von einer Stagnationskrise.",https://de.wikipedia.org/wiki/Stagnation_(Wirtschaft),,Für 2 Runden: Es kann nur eine Handkarte pro Zug aktiviert werden.,0,0,0,0,1
Ereigniskarte,Atomausstieg,Die deutsche Regierung setzte sich 2011 nach der Katastrophe in Fukushima das Ziel des deutschen Atomausstiegs.,https://www.bundesregierung.de/Webs/Breg/DE/Themen/Energiewende/Fragen-Antworten/8_Kernkraft/_node.html,,Der Spieler des Kernenergie-Decks legt 6 Karten seines Decks auf den Ablagestapel.,0,0,0,0,1
Ereigniskarte,Staatliche Förderung,"Die staatliche Förderung von erneuerbaren Energien wird nicht vom Staat, sondern durch die so genannte EEG-Umlage finanziert. 2016 betrug sie 6,35€ pro kWh.",http://www.iwr-institut.de/de/presse/presseinfos-energiewende/erneuerbare-energien-werden-subventioniert-staat-zahlt-keinen-cent,,Die Spieler der Windenergie- und Solarenergie-Decks ziehen 2 Karten pro Zug.,0,0,0,0,1
Ereigniskarte,Recycling,"Viele Teile von Offshore-Windparks und Kernkraftwerken können nach dem Gebrauch nicht wiederverwertet weden. Das Recycling von Solaranlagen ist jedoch teilweise möglich und wird, für eine bessere Ökobilanz, weiter ausgebaut.",http://www.focus.de/wissen/technik/erfindungen/erneuerbare-energien-was-passiert-mit-toten-solarzellen_aid_562544.html,,Alle Spieler mischen 7 Karten vom Ablagestapel ins Deck.,0,0,0,0,1
Ereigniskarte,Energieüberschuss,"Wenn zu viel Energie im Stromnetz ist, werden Abnehmer bezahlt um den Strom zu verbrauchen. So wird ein stabiles Netz gesichert.",,,Alle Spieler legen die obersten 4 Karten des Decks auf den Ablagestapel.,0,0,0,0,1
Ereigniskarte,Kommunismus,In einem idealen kommunistischen System gibt es Gleichheit für alle.,,,Alle Spieler mischen ihre Handkarten ins Deck und ziehen dann 4 Karten.,0,0,0,0,1
Ereigniskarte,Zeitdilatation,"Das Spielfeld bewegt sich kurzzeitig mit Lichtgeschwindigkeit. Da für es keine Zeit vergeht, kann auch nichts passieren.",,,Nichts passiert.,0,0,0,0,1
